State,County,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
Alabama,Alabama,4780125,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185
Alabama,Autauga County,54597,54773,55227,54954,54727,54893,54864,55243,55390,55533,55869
Alabama,Baldwin County,182265,183112,186558,190145,194885,199183,202939,207601,212521,217855,223234
Alabama,Barbour County,27455,27327,27341,27169,26937,26755,26283,25806,25157,24872,24686
Alabama,Bibb County,22915,22870,22745,22667,22521,22553,22566,22586,22550,22367,22394
Alabama,Blount County,57322,57376,57560,57580,57619,57526,57526,57494,57787,57771,57826
Alabama,Bullock County,10911,10876,10675,10606,10549,10663,10400,10389,10176,10174,10101
Alabama,Butler County,20940,20932,20866,20670,20356,20327,20162,20012,19888,19631,19448
Alabama,Calhoun County,118526,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605
Alabama,Chambers County,34169,34122,34033,34104,34139,33977,33996,33745,33707,33600,33254
Alabama,Cherokee County,25979,25963,25989,25958,26017,25895,25732,25768,25805,26014,26196
Alabama,Chilton County,43632,43653,43689,43582,43628,43760,43700,43866,44120,44163,44428
Alabama,Choctaw County,13858,13849,13609,13563,13397,13317,13231,13045,12925,12833,12589
Alabama,Clarke County,25833,25766,25587,25155,25123,24864,24698,24340,24063,23918,23622
Alabama,Clay County,13930,13898,13687,13434,13404,13441,13415,13393,13350,13294,13235
Alabama,Cleburne County,14972,15004,14928,14889,14976,15026,14914,14848,14899,15010,14910
Alabama,Coffee County,49955,50208,50444,51141,50681,50657,50963,51202,51853,51950,52342
Alabama,Colbert County,54428,54524,54539,54570,54529,54462,54417,54497,54695,55004,55241
Alabama,Conecuh County,13236,13236,13195,13046,12912,12677,12678,12500,12431,12292,12067
Alabama,Coosa County,11756,11780,11486,11346,11254,11037,10934,10819,10724,10643,10663
Alabama,Covington County,37762,37809,38020,37805,37814,37760,37556,37382,37062,36953,37049
Alabama,Crenshaw County,13893,13869,13894,13915,13847,13851,13850,13916,13858,13825,13772
Alabama,Cullman County,80406,80456,80410,80279,80690,81068,81761,82450,82867,83418,83768
Alabama,Dale County,50251,50394,50122,50289,49771,49414,49365,49362,49342,49143,49172
Alabama,Dallas County,43813,43854,43251,42789,41976,41554,40936,40080,39238,38294,37196
Alabama,DeKalb County,71120,71163,71365,70944,70912,70993,71087,71104,71437,71407,71513
Alabama,Elmore County,79272,79552,79993,80193,80536,80538,80872,81204,81422,81011,81209
Alabama,Escambia County,38320,38345,38204,38023,37765,37735,37661,37475,36993,36524,36633
Alabama,Etowah County,104429,104459,104369,104278,103884,103399,102998,102855,103007,102611,102268
Alabama,Fayette County,17235,17229,17052,16945,16824,16772,16696,16563,16466,16445,16302
Alabama,Franklin County,31709,31746,31776,31690,31553,31559,31515,31611,31542,31298,31362
Alabama,Geneva County,26781,26777,26756,26924,26677,26593,26631,26494,26385,26306,26271
Alabama,Greene County,9039,8991,8903,8848,8748,8584,8508,8482,8310,8209,8111
Alabama,Hale County,15762,15745,15361,15364,15246,15046,15015,14828,14801,14749,14651
Alabama,Henry County,17299,17296,17377,17153,17129,17079,17101,17072,17115,17173,17205
Alabama,Houston County,101560,101798,102488,103371,103643,104158,104260,104218,104378,104770,105882
Alabama,Jackson County,53223,53184,53214,53079,52957,52562,52195,51988,51828,51621,51626
Alabama,Jefferson County,658567,658215,658109,658061,659265,659972,660455,660343,659599,659429,658573
Alabama,Lamar County,14564,14496,14291,14248,14212,14067,13927,13928,13882,13882,13805
Alabama,Lauderdale County,92709,92737,92607,92662,92701,93000,92459,92425,92564,92604,92729
Alabama,Lawrence County,34337,34342,34051,33806,33575,33444,33135,33227,33063,32941,32924
Alabama,Lee County,140287,140794,144130,148567,151809,154511,156954,159168,161440,163656,164542
Alabama,Limestone County,82786,83181,85557,87326,88916,90599,91565,92847,94130,96177,98915
Alabama,Lowndes County,11296,11289,11140,10851,10661,10494,10350,10248,10097,9974,9726
Alabama,Macon County,21448,21505,21284,20608,20021,19641,19296,19060,18793,18321,18068
Alabama,Madison County,334807,336095,339565,342730,346625,349796,352977,356729,361762,367004,372909
Alabama,Marengo County,21048,20956,20661,20375,20119,19986,19766,19525,19396,19056,18863
Alabama,Marion County,30776,30816,30652,30484,30224,30199,30119,29960,29792,29750,29709
Alabama,Marshall County,93019,93122,93895,94260,94356,94257,94585,95113,95572,96170,96774
Alabama,Mobile County,413139,413315,413068,413816,413918,414149,414462,414945,414045,413908,413210
Alabama,Monroe County,23067,23005,22796,22581,22170,21926,21717,21548,21290,21062,20733
Alabama,Montgomery County,229375,229505,229189,228874,228190,227551,227279,227170,227265,226504,226486
Alabama,Morgan County,119490,119608,120024,120102,119571,119444,119257,119006,118918,119203,119679
Alabama,Perry County,10575,10563,10450,10163,9999,9801,9640,9532,9302,9070,8923
Alabama,Pickens County,19746,19749,19354,19309,19300,20272,20776,20325,20204,19980,19930
Alabama,Pike County,32901,32970,33025,33215,33715,33199,33496,33464,33349,33242,33114
Alabama,Randolph County,22916,22937,22745,22533,22547,22353,22594,22504,22687,22727,22722
Alabama,Russell County,52963,53321,54852,57500,59149,59224,58844,58185,56985,57784,57961
Alabama,St. Clair County,83350,83571,83975,84761,85810,85996,86546,87306,87926,88654,89512
Alabama,Shelby County,195253,196032,197952,200912,204039,206280,208959,211282,213633,215583,217702
Alabama,Sumter County,13763,13730,13490,13440,13394,13270,13206,12967,12749,12634,12427
Alabama,Talladega County,82353,82172,81863,82146,81578,81512,81128,80552,80142,80137,79978
Alabama,Tallapoosa County,41618,41476,41402,41048,41028,40884,40605,40586,40613,40535,40367
Alabama,Tuscaloosa County,194667,194996,196745,198807,201084,203086,204767,206464,207618,208319,209355
Alabama,Walker County,67020,66997,66585,66104,65777,65338,64931,64533,63895,63669,63521
Alabama,Washington County,17580,17626,17355,17146,16897,16868,16832,16621,16522,16402,16326
Alabama,Wilcox County,11664,11560,11438,11302,11145,10946,10896,10844,10691,10599,10373
Alabama,Winston County,24488,24412,24362,24193,24189,24139,23930,23907,23760,23693,23629
Alaska,Alaska,710249,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545
Alaska,Aleutians East Borough,3141,3166,3259,3294,3343,3346,3373,3363,3455,3395,3337
Alaska,Aleutians West Census Area,5561,5559,5582,5676,5777,5822,5781,5705,5729,5640,5634
Alaska,Anchorage Municipality,291836,293321,296197,298255,301142,299893,297547,297249,294338,290521,288000
Alaska,Bethel Census Area,17013,17084,17419,17656,17852,17936,17955,18022,18090,18219,18386
Alaska,Bristol Bay Borough,997,1002,1030,979,951,947,904,902,869,880,836
Alaska,Denali Borough,1822,1835,1872,1908,1943,1916,1933,2055,2084,2032,2097
Alaska,Dillingham Census Area,4847,4850,4947,4949,4978,4983,4988,4970,4940,4991,4916
Alaska,Fairbanks North Star Borough,97585,98264,98120,100311,100933,99254,99636,100633,99675,98565,96849
Alaska,Haines Borough,2508,2501,2574,2577,2558,2555,2516,2531,2524,2488,2530
Alaska,Hoonah-Angoon Census Area,2103,2107,2085,2114,2116,2098,2132,2121,2139,2155,2148
Alaska,Juneau City and Borough,31276,31387,32161,32384,32594,32481,32615,32412,32098,32037,31974
Alaska,Kenai Peninsula Borough,55400,55554,56299,56900,57014,57558,58034,58458,58558,58561,58708
Alaska,Ketchikan Gateway Borough,13526,13573,13674,13729,13722,13802,13702,13707,13834,13856,13901
Alaska,Kodiak Island Borough,13606,13646,13806,14037,14093,13907,13767,13728,13512,13250,12998
