year,state,county,fmd,error,FIPS
2016,alaska,Juneau,8%,8-8%,2110
2016,alaska,Sitka,9%,9-9%,2220
2016,alaska,Yakutat,9%,9-10%,2282
2016,new-mexico,Dona Ana,13%,13-13%,35013
2016,louisiana,La Salle,12%,12-13%,22059
2016,wyoming,Weston,10%,9-10%,56045
2016,wyoming,Washakie,10%,10-10%,56043
2016,wyoming,Uinta,10%,10-10%,56041
2016,wyoming,Teton,9%,9-9%,56039
2016,wyoming,Sweetwater,10%,9-10%,56037
2016,wyoming,Sublette,9%,8-9%,56035
2016,wyoming,Sheridan,9%,9-10%,56033
2016,wyoming,Platte,10%,10-10%,56031
2016,wyoming,Park,9%,9-9%,56029
2016,wyoming,Niobrara,11%,11-11%,56027
2016,wyoming,Natrona,10%,10-10%,56025
2016,wyoming,Lincoln,9%,9-9%,56023
2016,wyoming,Laramie,10%,9-10%,56021
2016,wyoming,Johnson,9%,9-9%,56019
2016,wyoming,Hot Springs,10%,9-10%,56017
2016,wyoming,Goshen,10%,10-11%,56015
2016,wyoming,Fremont,11%,11-11%,56013
2016,wyoming,Crook,9%,9-9%,56011
2016,wyoming,Converse,9%,9-9%,56009
2016,wyoming,Carbon,10%,9-10%,56007
2016,wyoming,Campbell,9%,9-9%,56005
2016,wyoming,Big Horn,10%,9-10%,56003
2016,wyoming,Albany,12%,11-12%,56001
2016,wisconsin,Wood,10%,10-10%,55141
2016,wisconsin,Winnebago,10%,10-10%,55139
2016,wisconsin,Waushara,10%,10-10%,55137
2016,wisconsin,Waupaca,10%,10-10%,55135
2016,wisconsin,Waukesha,9%,8-9%,55133
2016,wisconsin,Washington,9%,9-9%,55131
2016,wisconsin,Washburn,11%,11-11%,55129
2016,wisconsin,Walworth,10%,10-10%,55127
2016,wisconsin,Vilas,11%,11-12%,55125
2016,wisconsin,Vernon,11%,10-11%,55123
2016,wisconsin,Trempealeau,10%,10-10%,55121
2016,wisconsin,Taylor,11%,10-11%,55119
2016,wisconsin,Sheboygan,10%,9-10%,55117
